HOST,ISOLATE_CODE,ISOLATE,BLOCK,TRIAL,AUSPC,TUBER_YIELD_g,TUBER_COUNT,STEM_INFECTION
1,7,3-1.1,5,1,750,0,0,0
1,8,3-2.1,5,1,520,0,0,0
1,9,3-3.1,5,1,1630,0,0,0
1,10,1-1.2,5,1,1082.5,13,2,0
1,11,1-2.2,5,1,2250,0,0,0
1,12,1-3.2,5,1,1910,0,0,0
1,13,2-1.2,5,1,2050,0,0,0
1,14,2-2.2,5,1,965,0,0,0
1,15,2-3.2,5,1,560,9.3,1,0
1,16,3-1.2,5,1,427.5,0,0,0
1,17,3-2.2,5,1,760,0,0,0
1,18,3-3.2,5,1,1855,0,0,0
1,19,1-1.3,5,1,800,6.1,1,0
1,20,1-2.3,5,1,1520,0,0,0
1,21,1-3.3,5,1,290,0,0,0
1,22,2-1.3,5,1,2025.5,0,0,0
1,23,2-2.3,5,1,1967.5,0,0,0
1,24,2-3.3,5,1,752.5,0,0,0
1,25,3-1.3,5,1,582.5,0,0,0
1,26,3-2.3,5,1,915,0,0,0
1,27,3-3.3,5,1,2052.5,0,0,0
1,28,1-1.4,5,1,860,6.3,1,0
1,29,1-2.4,5,1,1762.5,0,0,0
1,30,1-3.4,5,1,1985,0,0,0
1,31,2-1.4,5,1,2247.5,0,0,0
1,32,2-2.4,5,1,1980,0,0,0
1,33,2-3.4,5,1,1350,6.4,1,0
1,34,3-1.4,5,1,950,9.5,1,0
1,35,3-2.4,5,1,2200,0,0,0
1,36,3-3.4,5,1,2070,0,0,0
1,37,H20,5,1,752.5,22.7,2,0
1,1,1-1.1,6,1,1082.5,0,0,0
1,2,1-2.1,6,1,1837.5,0,0,0
1,3,1-3.1,6,1,1800,0,0,0
1,4,2-1.1,6,1,1567.5,0,0,0
1,5,2-2.1,6,1,777.5,0,0,0
1,6,2-3.1,6,1,860,0,0,0
1,7,3-1.1,6,1,1285,0,0,0
1,8,3-2.1,6,1,520,0,0,0
1,9,3-3.1,6,1,1275,0,0,0
1,10,1-1.2,6,1,335,10.5,2,0
1,11,1-2.2,6,1,1077.5,19.2,2,0
1,12,1-3.2,6,1,1890,0,0,0
1,13,2-1.2,6,1,1105,7.3,1,0
1,14,2-2.2,6,1,1690,0,0,0
1,15,2-3.2,6,1,845,17.3,2,0
1,16,3-1.2,6,1,905,10.4,1,0
1,17,3-2.2,6,1,1240,27.4,2,0
1,18,3-3.2,6,1,1235,0,0,0
1,19,1-1.3,6,1,752.5,10.4,2,0
1,20,1-2.3,6,1,1165,9.4,1,0
1,21,1-3.3,6,1,1972.5,0,0,0
1,22,2-1.3,6,1,2030,0,0,0
1,23,2-2.3,6,1,1275,0,0,0
1,24,2-3.3,6,1,885,22,1,0
1,25,3-1.3,6,1,705,5.7,1,0
1,26,3-2.3,6,1,917.5,0,0,0
1,27,3-3.3,6,1,1210,0,0,0
1,28,1-1.4,6,1,1065,12,1,0
1,29,1-2.4,6,1,1085,5,1,0
1,30,1-3.4,6,1,710,0,0,0
1,31,2-1.4,6,1,1857.5,0,0,0
1,32,2-2.4,6,1,1915,7.4,1,0
1,33,2-3.4,6,1,1060,20.5,2,0
1,34,3-1.4,6,1,1270,0,0,0
1,35,3-2.4,6,1,1285,24.8,3,0
1,36,3-3.4,6,1,1955,5.8,1,0
1,37,H20,6,1,290,11.3,2,0
1,1,1-1.1,1,2,960.5,0,0,0
1,2,1-2.1,1,2,3017.5,0,0,0
1,3,1-3.1,1,2,1885,0,0,0
1,4,2-1.1,1,2,1935,0,0,0
1,5,2-2.1,1,2,1997.5,0,0,0
1,6,2-3.1,1,2,512.5,0,0,0
1,7,3-1.1,1,2,555.5,0,0,0
1,8,3-2.1,1,2,877.5,0,0,0
1,9,3-3.1,1,2,2490,0,0,0
1,10,1-1.2,1,2,2087.5,0,0,0
1,11,1-2.2,1,2,2300,0,0,0
1,12,1-3.2,1,2,2597,0,0,0
1,13,2-1.2,1,2,1425,0,0,0
1,14,2-2.2,1,2,1983,0,0,0
1,15,2-3.2,1,2,990.5,0,0,0
1,16,3-1.2,1,2,1090,0,0,0
1,17,3-2.2,1,2,1007.5,0,0,0
1,18,3-3.2,1,2,1776.5,0,0,0
1,19,1-1.3,1,2,865,0,0,0
1,20,1-2.3,1,2,1842.5,0,0,0
1,21,1-3.3,1,2,2042.5,0,0,0
1,22,2-1.3,1,2,1572.5,0,0,0
1,23,2-2.3,1,2,1397.5,0,0,0
1,24,2-3.3,1,2,712.5,0,0,0
1,25,3-1.3,1,2,1803,0,0,0
1,26,3-2.3,1,2,948,0,0,0
1,27,3-3.3,1,2,3405,0,0,0
1,28,1-1.4,1,2,850,0,0,0
1,29,1-2.4,1,2,1655,0,0,0
1,30,1-3.4,1,2,1859,0,0,0
1,31,2-1.4,1,2,637.5,0,0,0
1,32,2-2.4,1,2,1445,0,0,0
1,33,2-3.4,1,2,618,0,0,0
1,34,3-1.4,1,2,885.5,0,0,0
1,35,3-2.4,1,2,1805,0,0,0
1,36,3-3.4,1,2,1762.5,0,0,0
1,37,H20,1,2,1127.5,0,0,0
1,1,1-1.1,2,2,1622.5,0,0,0
1,2,1-2.1,2,2,2272.5,0,0,0
1,3,1-3.1,2,2,3065,0,0,0
1,4,2-1.1,2,2,3392.5,0,0,0
1,5,2-2.1,2,2,3110,0,0,0
1,6,2-3.1,2,2,1120.5,0,0,0
1,7,3-1.1,2,2,3447.5,0,0,0
1,8,3-2.1,2,2,1225,0,0,0
1,9,3-3.1,2,2,2455,0,0,0
1,10,1-1.2,2,2,742.5,0,0,0
1,11,1-2.2,2,2,2747,0,0,0
1,12,1-3.2,2,2,2450,0,0,0
1,13,2-1.2,2,2,2752.5,0,0,0
1,14,2-2.2,2,2,1462.5,0,0,0
1,15,2-3.2,2,2,1718,0,0,0
1,16,3-1.2,2,2,895,0,0,0
1,17,3-2.2,2,2,1942.5,0,0,0
1,18,3-3.2,2,2,2980,0,0,0
1,19,1-1.3,2,2,2777.5,0,0,0
1,20,1-2.3,2,2,1517.5,0,0,0
1,21,1-3.3,2,2,2042.5,0,0,0
1,22,2-1.3,2,2,1742.5,0,0,0
1,23,2-2.3,2,2,2325.5,0,0,0
1,24,2-3.3,2,2,657.5,0,0,0
1,25,3-1.3,2,2,1175,0,0,0
1,26,3-2.3,2,2,1767.5,0,0,0
1,27,3-3.3,2,2,3015,0,0,0
1,28,1-1.4,2,2,1427.5,0,0,0
1,29,1-2.4,2,2,2135,0,0,0
1,30,1-3.4,2,2,1987.5,0,0,0
1,31,2-1.4,2,2,805,0,0,0
1,32,2-2.4,2,2,1982.5,0,0,0
1,33,2-3.4,2,2,2770,0,0,0
1,34,3-1.4,2,2,1823,0,0,0
1,35,3-2.4,2,2,1487.5,0,0,0
1,36,3-3.4,2,2,2330,0,0,0
1,37,H20,2,2,887.5,0,0,0
1,1,1-1.1,3,2,1330.5,0,0,0
1,2,1-2.1,3,2,2632.5,0,0,0
1,3,1-3.1,3,2,2747,0,0,0
1,4,2-1.1,3,2,2867.5,0,0,0
1,5,2-2.1,3,2,2670.5,0,0,0
1,6,2-3.1,3,2,1917.5,0,0,0
1,7,3-1.1,3,2,1607.5,0,0,0
1,8,3-2.1,3,2,2447.5,0,0,0
1,9,3-3.1,3,2,2860,0,0,0
1,10,1-1.2,3,2,2262.5,0,0,0
1,11,1-2.2,3,2,2210,0,0,0
1,12,1-3.2,3,2,2672.5,0,0,0
1,13,2-1.2,3,2,2092.5,0,0,0
1,14,2-2.2,3,2,2367.5,0,0,0
1,15,2-3.2,3,2,1605.5,0,0,0
1,16,3-1.2,3,2,848,0,0,0
1,17,3-2.2,3,2,1748,0,0,0
1,18,3-3.2,3,2,2980,0,0,0
1,19,1-1.3,3,2,3017.5,0,0,0
1,20,1-2.3,3,2,2934.5,0,0,0
1,21,1-3.3,3,2,1950,0,0,0
1,22,2-1.3,3,2,2372,0,0,0
1,23,2-2.3,3,2,2550.5,0,0,0
1,24,2-3.3,3,2,1193,0,0,0
1,25,3-1.3,3,2,2167.5,0,0,0
1,26,3-2.3,3,2,1892.5,0,0,0
1,27,3-3.3,3,2,3017.5,0,0,0
1,28,1-1.4,3,2,1035.5,0,0,0
1,29,1-2.4,3,2,1940.5,0,0,0
1,30,1-3.4,3,2,2217.5,0,0,0
1,31,2-1.4,3,2,897.5,0,0,0
1,32,2-2.4,3,2,2357.5,0,0,0
1,33,2-3.4,3,2,2592,0,0,0
1,34,3-1.4,3,2,2407.5,0,0,0
1,35,3-2.4,3,2,2195,0,0,0
1,36,3-3.4,3,2,1338,0,0,0
1,37,H20,3,2,858,0,0,0
1,1,1-1.1,4,2,2080.5,0,0,0
1,2,1-2.1,4,2,3055,0,0,0
1,3,1-3.1,4,2,2640,0,0,0
1,4,2-1.1,4,2,2520.5,0,0,0
1,5,2-2.1,4,2,1367.5,0,0,0
1,6,2-3.1,4,2,2037.5,0,0,0
1,7,3-1.1,4,2,2240,0,0,0
1,8,3-2.1,4,2,1460,0,0,0
1,9,3-3.1,4,2,2425,0,0,0
1,10,1-1.2,4,2,1565,0,0,0
1,11,1-2.2,4,2,2590,0,0,0
1,12,1-3.2,4,2,2400.5,0,0,0
1,13,2-1.2,4,2,2419.5,0,0,0
1,14,2-2.2,4,2,1800,0,0,0
1,15,2-3.2,4,2,1325,0,0,0
1,16,3-1.2,4,2,720,0,0,0
1,17,3-2.2,4,2,2015.5,0,0,0
1,18,3-3.2,4,2,2565,0,0,0
1,19,1-1.3,4,2,870,0,0,0
1,20,1-2.3,4,2,2330,0,0,0
1,21,1-3.3,4,2,3072.5,0,0,0
1,22,2-1.3,4,2,3217.5,0,0,0
1,23,2-2.3,4,2,1527.5,0,0,0
1,24,2-3.3,4,2,1480,0,0,0
1,25,3-1.3,4,2,1370,0,0,0
1,26,3-2.3,4,2,1352.5,0,0,0
1,27,3-3.3,4,2,2565,0,0,0
1,28,1-1.4,4,2,3457.5,0,0,0
1,29,1-2.4,4,2,2960,0,0,0
1,30,1-3.4,4,2,2552.5,0,0,0
1,31,2-1.4,4,2,1869,0,0,0
1,32,2-2.4,4,2,1507.5,0,0,0
1,33,2-3.4,4,2,1935,0,0,0
1,34,3-1.4,4,2,2112.5,0,0,0
1,35,3-2.4,4,2,1298,0,0,0
1,36,3-3.4,4,2,2602.5,0,0,0
1,37,H20,4,2,1637.5,0,0,0
1,1,1-1.1,5,2,1692.5,0,0,0
1,2,1-2.1,5,2,3092.5,0,0,0
1,3,1-3.1,5,2,2715,0,0,0
1,4,2-1.1,5,2,2132.5,0,0,0
1,5,2-2.1,5,2,2677.5,0,0,0
1,6,2-3.1,5,2,1212.5,0,0,0
1,7,3-1.1,5,2,1292.5,0,0,0
1,8,3-2.1,5,2,2042.5,0,0,0
1,9,3-3.1,5,2,2867.5,0,0,0
1,10,1-1.2,5,2,3130,0,0,0
1,11,1-2.2,5,2,2362.5,0,0,0
1,12,1-3.2,5,2,2755,0,0,0
1,13,2-1.2,5,2,3465,0,0,0
1,14,2-2.2,5,2,2637.5,0,0,0
1,15,2-3.2,5,2,1225,0,0,0
1,16,3-1.2,5,2,932.5,0,0,0
1,17,3-2.2,5,2,3024.5,0,0,0
1,18,3-3.2,5,2,2980,0,0,0
1,19,1-1.3,5,2,3052.5,0,0,0
1,20,1-2.3,5,2,3465,0,0,0
1,21,1-3.3,5,2,2822,0,0,0
1,22,2-1.3,5,2,3015,0,0,0
1,23,2-2.3,5,2,2902.5,0,0,0
1,24,2-3.3,5,2,2370,0,0,0
1,25,3-1.3,5,2,1925,0,0,0
1,26,3-2.3,5,2,2482.5,0,0,0
1,27,3-3.3,5,2,2387.5,0,0,0
